Year,CommodityProduct,CommodityProduct Label,Growth rate (over previous period),Growth rate (over previous period) Footnote,Index Base 2015,Index Base 2015 Footnote
1995,IN0001.01,"All food ",,,79.55,
1995,IN0001.02,"Food ",,,80.54,
1995,IN0001.03,"Tropical beverages",,,87.24,
1995,IN0001.04,"Vegetable oilseeds and oils ",,,73.45,
1995,IN0001.05,"Tropical beverages and food ",,,82.19,
1995,IN0001.06,"Agricultural raw materials",,,99.15,
1995,IN0001.07,"Minerals, ores and metals",,,44.39,
1995,IN0001.08,"Minerals, ores and non-precious metals ",,,58.28,
1995,IN0001.09,"Precious metals ",,,33.41,
1995,IN0001.10,"Fuels ",,,36.64,
1995,IN0001.20,"All groups",,,46.28,
1995,IN0001.22,"All groups excl. fuels",,,61.9,
1995,IN0001.23,"All groups excl. precious metals",,,48.01,
1995,IN0001.24,"All groups excl. precious metals and fuels ",,,74.73,
1996,IN0001.01,"All food ",-1.68448,,78.21,
1996,IN0001.02,"Food ",0.3104,,80.79,
1996,IN0001.03,"Tropical beverages",-17.15956,,72.27,
1996,IN0001.04,"Vegetable oilseeds and oils ",4.9966,,77.12,
1996,IN0001.05,"Tropical beverages and food ",-4.25843,,78.69,
1996,IN0001.06,"Agricultural raw materials",-8.57287,,90.65,
1996,IN0001.07,"Minerals, ores and metals",-5.15882,,42.1,
1996,IN0001.08,"Minerals, ores and non-precious metals ",-9.24846,,52.89,
1996,IN0001.09,"Precious metals ",0.4789,,33.57,
1996,IN0001.10,"Fuels ",21.72489,,44.6,
1996,IN0001.20,"All groups",8.5134,,50.22,
1996,IN0001.22,"All groups excl. fuels",-4.1357,,59.34,
1996,IN0001.23,"All groups excl. precious metals",9.2689,,52.46,
1996,IN0001.24,"All groups excl. precious metals and fuels ",-5.05821,,70.95,
1997,IN0001.01,"All food ",2.53165,,80.19,
1997,IN0001.02,"Food ",-4.44362,,77.2,
1997,IN0001.03,"Tropical beverages",34.2189,,97,
1997,IN0001.04,"Vegetable oilseeds and oils ",-1.67272,,75.83,
1997,IN0001.05,"Tropical beverages and food ",4.30804,,82.08,
1997,IN0001.06,"Agricultural raw materials",-7.49035,,83.86,
1997,IN0001.07,"Minerals, ores and metals",-5.962,,39.59,
1997,IN0001.08,"Minerals, ores and non-precious metals ",-0.09454,,52.84,
1997,IN0001.09,"Precious metals ",-13.25588,,29.12,
1997,IN0001.10,"Fuels ",-5.67265,,42.07,
1997,IN0001.20,"All groups",-4.14178,,48.14,
1997,IN0001.22,"All groups excl. fuels",-2.29188,,57.98,
1997,IN0001.23,"All groups excl. precious metals",-3.374,,50.69,
1997,IN0001.24,"All groups excl. precious metals and fuels ",0.02819,,70.97,
1998,IN0001.01,"All food ",-9.50243,,72.57,
1998,IN0001.02,"Food ",-8.36788,,70.74,
1998,IN0001.03,"Tropical beverages",-18.45361,,79.1,
1998,IN0001.04,"Vegetable oilseeds and oils ",-4.99802,,72.04,
1998,IN0001.05,"Tropical beverages and food ",-11.30604,,72.8,
1998,IN0001.06,"Agricultural raw materials",-19.31791,,67.66,
1998,IN0001.07,"Minerals, ores and metals",-12.3516,,34.7,
1998,IN0001.08,"Minerals, ores and non-precious metals ",-14.76154,,45.04,
1998,IN0001.09,"Precious metals ",-8.89423,,26.53,
1998,IN0001.10,"Fuels ",-26.90754,,30.75,
1998,IN0001.20,"All groups",-20.0457,,38.49,
