Year,CommodityProduct,CommodityProduct Label,Prices,Prices Footnote
1995,020100.01,"Beef, Australia/New Zealand, frozen, CIF US ports ($/kg)",1.86,
1995,030212.01,"Salmon, fresh, fish-farm bred, export price, Norway ($/kg)",4.77,
1995,030613.01,"Shrimps, brown, no. 1, shell-on, headless, Mexico ($/kg)",13.53,
1995,080300.01,"Bananas, Central and South America, FOT, US import price ($/kg)",0.44,
1995,090100.01,"Coffee, Colombian mild Arabicas, ex-dock US (¢/lb.)",158.33,
1995,090100.02,"Coffee, Brazilian and other natural Arabicas, ex-dock USA (¢/lb.)",145.94,
1995,090100.03,"Coffee, other mild Arabicas, ex-dock US (¢/lb.)",149.29,
1995,090100.04,"Coffee, other mild Arabicas, ex-dock EU (¢/lb.)",151.15,
1995,090100.05,"Coffee, Robustas, ex-dock US (¢/lb.)",126.78,
1995,090100.06,"Coffee, Robustas, ex-dock EU (¢/lb.)",125.67,
1995,090200.01,"Tea, Kenya Mombasa/Nairobi, auction price ($/kg)",1.3,
1995,100100.01,"Wheat, United States, n° 2 Hard Red Winter (ordinary), FOB Gulf ($/t)",178.76,
1995,100100.02,"Wheat, Argentina, Trigo Pan, Up River, FOB ($/t)",166.73,
1995,100500.01,"Maize, Argentina, Rosario, Up River, FOB ($/t)",123.81,
1995,100500.02,"Maize, United States, n° 3 yellow, FOB Gulf ($/t)",125.12,
1995,100600.01,"Rice, Thailand, white milled, 5% broken, export price, FOB ($/t)",320.95,
1995,120100.01,"Soybeans, in bulk, United States, n° 2 yellow, CIF Rotterdam ($/t)",259.25,
1995,120810.01,"Soybean meal, in bulk, 45/46% protein, Hamburg FOB ex-mill ($/t)",196.91,
1995,150710.01,"Soybean oil, in bulk, Netherlands, FOB ex-mill ($/t)",625.08,
1995,150810.01,"Groundnut oil, in bulk, any origin, CIF Rotterdam ($/t)",990.91,
1995,151110.01,"Palm oil, in bulk, Malaysia/Indonesia, 5% FFA, CIF ($/t)",628.25,
1995,151311.01,"Coconut oil, in bulk, Philippines/Indonesia, CIF Rotterdam ($/t)",669.58,
1995,170100.01,"Sugar, average of I.S.A. daily prices, FOB & Stowed, in bulk, Caribbean ports (¢/lb.)",13.28,
1995,180100.01,"Cocoa beans, average daily prices New York/London (¢/lb.)",65.01,
1995,230120.01,"Fish meal, in bulk, 64/65% protein, FCA, Bremen ($/t)",495,
1995,240100.01,"Tobacco, unmanufactured, US import unit value  ($/t)",2642.15,
1995,251000.01,"Phosphate rock, Khouribga, 70% BPL, contract, FAS Casablanca ($/t)",32.66,
1995,260100.04,"Iron ore, Brazilian to Europe, Vale Itabira SSF, 64.5% Fe content, FOB (¢/Fe unit)",26.95,
1995,260800.02,"Zinc, Prime Western, delivered, North America (¢/lb.)",53.35,
1995,270900.01,"Crude oil, UK Brent, light blend API 38°, spot price, FOB UK ports ($/barrel)",17.06,
1995,270900.02,"Crude oil, Dubai, medium, Fateh API 32°, spot price, FOB Dubai ($/barrel)",16.11,
1995,271100.01,"Natural gas, index, Europe, United States and Japan (2010=100)",36.22,
1995,400100.01,"Rubber, TSR 20, New York CIF ($/t)",1648.17,
1995,400100.02,"Rubber, RSS n°3, Singapore Commodity Exchange, 1st contract (¢/kg)",158,
1995,410100.01,"Cattle hides, US Chicago packer's heavy native steers, FOB shipping point (¢/lb.)",88.13,
1995,440300.01,"Tropical logs, Sapele, high quality (loyal and marchand), FOB, Cameroon ($/m3)",339.5,
1995,440300.02,"Tropical logs, Okoume (60% CI, 40% CE, 20% CS), West Africa, FOB ($/m3)",316.9,
1995,440700.01,"Sawnwood, Dark Red Meranti, Malaysia, CFR plus commission, UK ($/m3)",739.95,
1995,441200.01,"Plywood, Africa & SE Asia, Lauan, 3-ply, 91cmx182cmx4mm, wholesale Tokyo (¢/sheet)",584.43,
1995,510100.01,"Fine wool, 19 micron, Australia ($/t)",7753.1,
1995,510100.02,"Coarse wool, 23 micron, AWEX auction price, Australia ($/t)",4971.42,
1995,530300.01,"Jute, Bangladesh, BWD, FOB Mongla ($/t)",365.66,
1995,530500.01,"Sisal, Tanzania/Kenya, n° 2 & 3 long, FOB ($/t)",769.25,
