"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Time","Time ID","Trade Value"
"Animals; live",101,"Horses",10101,"Animal Products",1,2018,NaN,483326009
"Animals; live",101,"Bovine",10102,"Animal Products",1,2018,NaN,250879343
"Animals; live",101,"Pigs",10103,"Animal Products",1,2018,NaN,19409707
"Animals; live",101,"Sheep and Goats",10104,"Animal Products",1,2018,NaN,2512326
"Animals; live",101,"Poultry",10105,"Animal Products",1,2018,NaN,211071165
"Animals; live",101,"Other Animals",10106,"Animal Products",1,2018,NaN,79361680
"Meat and edible meat offal",102,"Bovine Meat",10201,"Animal Products",1,2018,NaN,3655040953
"Meat and edible meat offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,2018,NaN,3545512714
"Meat and edible meat offal",102,"Pig Meat",10203,"Animal Products",1,2018,NaN,4596495547
"Meat and edible meat offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,2018,NaN,19495713
"Meat and edible meat offal",102,"Horse Meat",10205,"Animal Products",1,2018,NaN,52704
"Meat and edible meat offal",102,"Edible Offal",10206,"Animal Products",1,2018,NaN,1379634661
"Meat and edible meat offal",102,"Poultry Meat",10207,"Animal Products",1,2018,NaN,3532354806
"Meat and edible meat offal",102,"Other Meat",10208,"Animal Products",1,2018,NaN,8666849
"Meat and edible meat offal",102,"Animal Fat",10209,"Animal Products",1,2018,NaN,52105686
"Meat and edible meat offal",102,"Preserved Meat",10210,"Animal Products",1,2018,NaN,275517022
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Live Fish",10301,"Animal Products",1,2018,NaN,33759218
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,2018,NaN,166510291
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,2018,NaN,2020348812
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Fish Fillets",10304,"Animal Products",1,2018,NaN,1354613115
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Processed Fish",10305,"Animal Products",1,2018,NaN,21136762
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Crustaceans",10306,"Animal Products",1,2018,NaN,844347846
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Molluscs",10307,"Animal Products",1,2018,NaN,421705401
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,2018,NaN,16682214
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Milk",10401,"Animal Products",1,2018,NaN,104837268
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Concentrated Milk",10402,"Animal Products",1,2018,NaN,1493750045
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Fermented Milk Products",10403,"Animal Products",1,2018,NaN,84464699
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Whey",10404,"Animal Products",1,2018,NaN,633991271
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Butter",10405,"Animal Products",1,2018,NaN,181344510
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Cheese",10406,"Animal Products",1,2018,NaN,1450351145
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Eggs",10407,"Animal Products",1,2018,NaN,450339548
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Processed Egg Products",10408,"Animal Products",1,2018,NaN,97140920
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Honey",10409,"Animal Products",1,2018,NaN,25047490
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Other Edible Animal Products",10410,"Animal Products",1,2018,NaN,40532893
"Animal originated products; not elsewhere specified or included",105,"Human Hair",10501,"Animal Products",1,2018,NaN,1363052
"Animal originated products; not elsewhere specified or included",105,"Pig Hair",10502,"Animal Products",1,2018,NaN,1744815
"Animal originated products; not elsewhere specified or included",105,"Animal Organs",10504,"Animal Products",1,2018,NaN,681216630
"Animal originated products; not elsewhere specified or included",105,"Bird Feathers and Skins",10505,"Animal Products",1,2018,NaN,106392283
"Animal originated products; not elsewhere specified or included",105,"Processed Bones",10506,"Animal Products",1,2018,NaN,54534107
"Animal originated products; not elsewhere specified or included",105,"Raw Bones",10507,"Animal Products",1,2018,NaN,4981764
"Animal originated products; not elsewhere specified or included",105,"Coral and Shells",10508,"Animal Products",1,2018,NaN,3419585
"Animal originated products; not elsewhere specified or included",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,2018,NaN,21049480
"Animal originated products; not elsewhere specified or included",105,"Other Inedible Animal Products",10511,"Animal Products",1,2018,NaN,399136926
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,2018,NaN,12323925
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Other Live Plants",20602,"Vegetable Products",2,2018,NaN,276677952
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,2018,NaN,11063297
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Foliage",20604,"Vegetable Products",2,2018,NaN,103156846
"Vegetables and certain roots and tubers; edible",207,"Potatoes",20701,"Vegetable Products",2,2018,NaN,223459252
"Vegetables and certain roots and tubers; edible",207,"Tomatoes",20702,"Vegetable Products",2,2018,NaN,310115359
"Vegetables and certain roots and tubers; edible",207,"Onions",20703,"Vegetable Products",2,2018,NaN,216942748
"Vegetables and certain roots and tubers; edible",207,"Cabbages",20704,"Vegetable Products",2,2018,NaN,403011639
"Vegetables and certain roots and tubers; edible",207,"Lettuce",20705,"Vegetable Products",2,2018,NaN,401278228
"Vegetables and certain roots and tubers; edible",207,"Root Vegetables",20706,"Vegetable Products",2,2018,NaN,98907464
"Vegetables and certain roots and tubers; edible",207,"Cucumbers",20707,"Vegetable Products",2,2018,NaN,52769526
"Vegetables and certain roots and tubers; edible",207,"Legumes",20708,"Vegetable Products",2,2018,NaN,104198383
"Vegetables and certain roots and tubers; edible",207,"Other Vegetables",20709,"Vegetable Products",2,2018,NaN,695800228
"Vegetables and certain roots and tubers; edible",207,"Frozen Vegetables",20710,"Vegetable Products",2,2018,NaN,270196726
"Vegetables and certain roots and tubers; edible",207,"Preserved Vegetables",20711,"Vegetable Products",2,2018,NaN,9484039
"Vegetables and certain roots and tubers; edible",207,"Dried Vegetables",20712,"Vegetable Products",2,2018,NaN,194213306
"Vegetables and certain roots and tubers; edible",207,"Dried Legumes",20713,"Vegetable Products",2,2018,NaN,684245585
"Vegetables and certain roots and tubers; edible",207,"Cassava",20714,"Vegetable Products",2,2018,NaN,204935655
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,2018,NaN,37606047
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Other Nuts",20802,"Vegetable Products",2,2018,NaN,7802880994
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Bananas",20803,"Vegetable Products",2,2018,NaN,428836324
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Tropical Fruits",20804,"Vegetable Products",2,2018,NaN,368210993
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Citrus",20805,"Vegetable Products",2,2018,NaN,960995947
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Grapes",20806,"Vegetable Products",2,2018,NaN,1182454214
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Melons",20807,"Vegetable Products",2,2018,NaN,259855624
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Apples and Pears",20808,"Vegetable Products",2,2018,NaN,1151633674
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Pitted Fruits",20809,"Vegetable Products",2,2018,NaN,625520955
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Other Fruits",20810,"Vegetable Products",2,2018,NaN,1024898349
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,2018,NaN,218946911
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,2018,NaN,6929694
