"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Time","Time ID","Trade Value"
"Animals; live",101,"Horses",10101,"Animal Products",1,2019,NaN,315635
"Animals; live",101,"Bovine",10102,"Animal Products",1,2019,NaN,18600
"Animals; live",101,"Pigs",10103,"Animal Products",1,2019,NaN,58634
"Animals; live",101,"Poultry",10105,"Animal Products",1,2019,NaN,22621984
"Animals; live",101,"Other Animals",10106,"Animal Products",1,2019,NaN,2791588
"Meat and edible meat offal",102,"Bovine Meat",10201,"Animal Products",1,2019,NaN,14472372
"Meat and edible meat offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,2019,NaN,70455934
"Meat and edible meat offal",102,"Pig Meat",10203,"Animal Products",1,2019,NaN,855019503
"Meat and edible meat offal",102,"Edible Offal",10206,"Animal Products",1,2019,NaN,243064792
"Meat and edible meat offal",102,"Poultry Meat",10207,"Animal Products",1,2019,NaN,1906747
"Meat and edible meat offal",102,"Other Meat",10208,"Animal Products",1,2019,NaN,7950
"Meat and edible meat offal",102,"Animal Fat",10209,"Animal Products",1,2019,NaN,750441
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Live Fish",10301,"Animal Products",1,2019,NaN,654956
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,2019,NaN,107611
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,2019,NaN,590690499
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Fish Fillets",10304,"Animal Products",1,2019,NaN,35636099
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Processed Fish",10305,"Animal Products",1,2019,NaN,378784
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Crustaceans",10306,"Animal Products",1,2019,NaN,89351249
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Molluscs",10307,"Animal Products",1,2019,NaN,79947551
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,2019,NaN,222230
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Milk",10401,"Animal Products",1,2019,NaN,425773
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Concentrated Milk",10402,"Animal Products",1,2019,NaN,23727953
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Fermented Milk Products",10403,"Animal Products",1,2019,NaN,2926217
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Whey",10404,"Animal Products",1,2019,NaN,114271924
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Butter",10405,"Animal Products",1,2019,NaN,449976
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Cheese",10406,"Animal Products",1,2019,NaN,37464437
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Eggs",10407,"Animal Products",1,2019,NaN,15210
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Processed Egg Products",10408,"Animal Products",1,2019,NaN,102367
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Honey",10409,"Animal Products",1,2019,NaN,360174
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Other Edible Animal Products",10410,"Animal Products",1,2019,NaN,3600
"Animal originated products; not elsewhere specified or included",105,"Human Hair",10501,"Animal Products",1,2019,NaN,285960
"Animal originated products; not elsewhere specified or included",105,"Animal Organs",10504,"Animal Products",1,2019,NaN,233138945
"Animal originated products; not elsewhere specified or included",105,"Bird Feathers and Skins",10505,"Animal Products",1,2019,NaN,12020938
"Animal originated products; not elsewhere specified or included",105,"Processed Bones",10506,"Animal Products",1,2019,NaN,8767500
"Animal originated products; not elsewhere specified or included",105,"Raw Bones",10507,"Animal Products",1,2019,NaN,445346
"Animal originated products; not elsewhere specified or included",105,"Coral and Shells",10508,"Animal Products",1,2019,NaN,219581
"Animal originated products; not elsewhere specified or included",105,"Other Inedible Animal Products",10511,"Animal Products",1,2019,NaN,40056758
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,2019,NaN,32062
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Other Live Plants",20602,"Vegetable Products",2,2019,NaN,5003970
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Foliage",20604,"Vegetable Products",2,2019,NaN,218243
"Vegetables and certain roots and tubers; edible",207,"Potatoes",20701,"Vegetable Products",2,2019,NaN,106849
"Vegetables and certain roots and tubers; edible",207,"Onions",20703,"Vegetable Products",2,2019,NaN,42361
"Vegetables and certain roots and tubers; edible",207,"Cabbages",20704,"Vegetable Products",2,2019,NaN,9453
"Vegetables and certain roots and tubers; edible",207,"Other Vegetables",20709,"Vegetable Products",2,2019,NaN,66444
"Vegetables and certain roots and tubers; edible",207,"Frozen Vegetables",20710,"Vegetable Products",2,2019,NaN,16079284
"Vegetables and certain roots and tubers; edible",207,"Preserved Vegetables",20711,"Vegetable Products",2,2019,NaN,27748
"Vegetables and certain roots and tubers; edible",207,"Dried Vegetables",20712,"Vegetable Products",2,2019,NaN,2418303
"Vegetables and certain roots and tubers; edible",207,"Dried Legumes",20713,"Vegetable Products",2,2019,NaN,12089538
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,2019,NaN,60761
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Other Nuts",20802,"Vegetable Products",2,2019,NaN,584470529
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Bananas",20803,"Vegetable Products",2,2019,NaN,14186
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Tropical Fruits",20804,"Vegetable Products",2,2019,NaN,560379
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Citrus",20805,"Vegetable Products",2,2019,NaN,23715589
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Grapes",20806,"Vegetable Products",2,2019,NaN,12642122
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Apples and Pears",20808,"Vegetable Products",2,2019,NaN,13577388
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Pitted Fruits",20809,"Vegetable Products",2,2019,NaN,68956656
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Other Fruits",20810,"Vegetable Products",2,2019,NaN,561690
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,2019,NaN,954992
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,2019,NaN,1668600
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Dried Fruits",20813,"Vegetable Products",2,2019,NaN,9472906
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,2019,NaN,5373
"Coffee, tea, mate and spices",209,"Coffee",20901,"Vegetable Products",2,2019,NaN,16155072
"Coffee, tea, mate and spices",209,"Tea",20902,"Vegetable Products",2,2019,NaN,1082419
"Coffee, tea, mate and spices",209,"Pepper",20904,"Vegetable Products",2,2019,NaN,949366
"Coffee, tea, mate and spices",209,"Cinnamon",20906,"Vegetable Products",2,2019,NaN,13177
"Coffee, tea, mate and spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,2019,NaN,4000
"Coffee, tea, mate and spices",209,"Spice Seeds",20909,"Vegetable Products",2,2019,NaN,276430
"Coffee, tea, mate and spices",209,"Spices",20910,"Vegetable Products",2,2019,NaN,243498
"Cereals",210,"Wheat",21001,"Vegetable Products",2,2019,NaN,55538748
