"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Time","Time ID","Trade Value"
"Animals; live",101,"Other Animals",10106,"Animal Products",1,2018,NaN,2977191
"Meat and edible meat offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,2018,NaN,152291
"Meat and edible meat offal",102,"Edible Offal",10206,"Animal Products",1,2018,NaN,7539
"Meat and edible meat offal",102,"Other Meat",10208,"Animal Products",1,2018,NaN,12416983
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Live Fish",10301,"Animal Products",1,2018,NaN,482815
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,2018,NaN,788697
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,2018,NaN,127043088
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Fish Fillets",10304,"Animal Products",1,2018,NaN,1210195437
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Processed Fish",10305,"Animal Products",1,2018,NaN,34206305
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Crustaceans",10306,"Animal Products",1,2018,NaN,132706395
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Molluscs",10307,"Animal Products",1,2018,NaN,227754017
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,2018,NaN,230594
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Fermented Milk Products",10403,"Animal Products",1,2018,NaN,2875
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Eggs",10407,"Animal Products",1,2018,NaN,3293093
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Processed Egg Products",10408,"Animal Products",1,2018,NaN,1090440
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Honey",10409,"Animal Products",1,2018,NaN,10803956
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Other Edible Animal Products",10410,"Animal Products",1,2018,NaN,2771059
"Animal originated products; not elsewhere specified or included",105,"Human Hair",10501,"Animal Products",1,2018,NaN,615766
"Animal originated products; not elsewhere specified or included",105,"Pig Hair",10502,"Animal Products",1,2018,NaN,6265670
"Animal originated products; not elsewhere specified or included",105,"Animal Organs",10504,"Animal Products",1,2018,NaN,58085510
"Animal originated products; not elsewhere specified or included",105,"Bird Feathers and Skins",10505,"Animal Products",1,2018,NaN,110870039
"Animal originated products; not elsewhere specified or included",105,"Processed Bones",10506,"Animal Products",1,2018,NaN,368670
"Animal originated products; not elsewhere specified or included",105,"Raw Bones",10507,"Animal Products",1,2018,NaN,17940
"Animal originated products; not elsewhere specified or included",105,"Coral and Shells",10508,"Animal Products",1,2018,NaN,2887511
"Animal originated products; not elsewhere specified or included",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,2018,NaN,2772
