Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,..,..,..
Afghanistan,AFG,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,7956456168.29306,7983854240.16617,7370791520.56327
Albania,ALB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,4110293870.69689,4785182221.9259,4821430666.52656
Albania,ALB,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,6122452299.79361,6854286781.72703,6925814672.05683
Algeria,DZA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,38511674028.6667,45231560891.9383,38999162479.062
Algeria,DZA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,60127885210.1899,..,..
American Samoa,ASM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,362000000,438000000,..
American Samoa,ASM,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Andorra,AND,Exports of goods and services (current US$),NE.EXP.GNFS.CD,..,..,..
Andorra,AND,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Angola,AGO,Exports of goods and services (current US$),NE.EXP.GNFS.CD,35420915616.9387,41388899132.5883,36020868041.6791
Angola,AGO,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,28256537255.8004,25887355607.4086,22299328651.1375
Antigua and Barbuda,ATG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,990296296.296296,1151703703.7037,..
Antigua and Barbuda,ATG,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,970692123.152667,1115054157.72354,..
Arab World,ARB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1125081734176.18,1318919927659.46,1273419126714.2
Arab World,ARB,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1022899193514.95,1102091770287.99,1110472666639.19
Argentina,ARG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,72860588696.6328,75676150102.3873,77684320032.9072
Argentina,ARG,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,89310577213.5266,86783019877.1844,66277664569.6775
Armenia,ARM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,4405338828.34724,4907543853.58308,5631686117.72708
Armenia,ARM,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,5650559503.77429,6609502522.99124,7469489646.67263
Aruba,ABW,Exports of goods and services (current US$),NE.EXP.GNFS.CD,2241340782.1229,..,..
Aruba,ABW,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2038205647.6442,2272900438.38577,2252067543.90886
Australia,AUS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,281864393996.531,312681962638.555,336725790301.817
Australia,AUS,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,289537678516.312,310225664276.837,295555960123.326
Austria,AUT,Exports of goods and services (current US$),NE.EXP.GNFS.CD,225532509835.271,253446654971.686,247353333587.294
Austria,AUT,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,212901579390.896,238793631749.652,232801418746.672
Azerbaijan,AZE,Exports of goods and services (current US$),NE.EXP.GNFS.CD,19839356263.0723,25484470588.2353,23629647058.8235
Azerbaijan,AZE,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,17105068000,17705199000,17712459100.0138
"Bahamas, The",BHS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,4538800000,5132000000,5328800000
"Bahamas, The",BHS,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,4921466372.68991,5133821773.77056,4791899151.76885
Bahrain,BHR,Exports of goods and services (current US$),NE.EXP.GNFS.CD,26881914893.617,29959042553.1915,..
Bahrain,BHR,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,23876329787.234,27186968085.1064,..
Bangladesh,BGD,Exports of goods and services (current US$),NE.EXP.GNFS.CD,37546818877.6792,40560411465.9792,46363741962.7091
Bangladesh,BGD,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,56764922839.7063,65585208867.4853,64421065790.1923
