"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Time","Time ID","Trade Value"
"Animals; live",101,"Other Animals",10106,"Animal Products",1,2019,NaN,1058009
"Meat and edible meat offal",102,"Other Meat",10208,"Animal Products",1,2019,NaN,6402052
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Live Fish",10301,"Animal Products",1,2019,NaN,232600
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,2019,NaN,460559
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,2019,NaN,82331313
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Fish Fillets",10304,"Animal Products",1,2019,NaN,1023531949
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Processed Fish",10305,"Animal Products",1,2019,NaN,38255544
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Crustaceans",10306,"Animal Products",1,2019,NaN,20505948
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Molluscs",10307,"Animal Products",1,2019,NaN,118448877
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,2019,NaN,373438
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Fermented Milk Products",10403,"Animal Products",1,2019,NaN,186198
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Eggs",10407,"Animal Products",1,2019,NaN,3876613
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Processed Egg Products",10408,"Animal Products",1,2019,NaN,899275
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Honey",10409,"Animal Products",1,2019,NaN,11253913
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,"Other Edible Animal Products",10410,"Animal Products",1,2019,NaN,1458843
"Animal originated products; not elsewhere specified or included",105,"Human Hair",10501,"Animal Products",1,2019,NaN,246010
"Animal originated products; not elsewhere specified or included",105,"Pig Hair",10502,"Animal Products",1,2019,NaN,5699004
"Animal originated products; not elsewhere specified or included",105,"Animal Organs",10504,"Animal Products",1,2019,NaN,3158252
"Animal originated products; not elsewhere specified or included",105,"Bird Feathers and Skins",10505,"Animal Products",1,2019,NaN,90088002
"Animal originated products; not elsewhere specified or included",105,"Processed Bones",10506,"Animal Products",1,2019,NaN,122500
"Animal originated products; not elsewhere specified or included",105,"Raw Bones",10507,"Animal Products",1,2019,NaN,31932
"Animal originated products; not elsewhere specified or included",105,"Coral and Shells",10508,"Animal Products",1,2019,NaN,1697334
"Animal originated products; not elsewhere specified or included",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,2019,NaN,10772
"Animal originated products; not elsewhere specified or included",105,"Other Inedible Animal Products",10511,"Animal Products",1,2019,NaN,125875857
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,2019,NaN,33255
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Other Live Plants",20602,"Vegetable Products",2,2019,NaN,29252039
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,2019,NaN,2017636
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,"Foliage",20604,"Vegetable Products",2,2019,NaN,19082956
"Vegetables and certain roots and tubers; edible",207,"Potatoes",20701,"Vegetable Products",2,2019,NaN,77381
"Vegetables and certain roots and tubers; edible",207,"Onions",20703,"Vegetable Products",2,2019,NaN,55297432
"Vegetables and certain roots and tubers; edible",207,"Lettuce",20705,"Vegetable Products",2,2019,NaN,17860
"Vegetables and certain roots and tubers; edible",207,"Root Vegetables",20706,"Vegetable Products",2,2019,NaN,97379
"Vegetables and certain roots and tubers; edible",207,"Legumes",20708,"Vegetable Products",2,2019,NaN,15948
"Vegetables and certain roots and tubers; edible",207,"Other Vegetables",20709,"Vegetable Products",2,2019,NaN,7689238
"Vegetables and certain roots and tubers; edible",207,"Frozen Vegetables",20710,"Vegetable Products",2,2019,NaN,44356365
"Vegetables and certain roots and tubers; edible",207,"Preserved Vegetables",20711,"Vegetable Products",2,2019,NaN,204448
"Vegetables and certain roots and tubers; edible",207,"Dried Vegetables",20712,"Vegetable Products",2,2019,NaN,77977908
"Vegetables and certain roots and tubers; edible",207,"Dried Legumes",20713,"Vegetable Products",2,2019,NaN,17305663
"Vegetables and certain roots and tubers; edible",207,"Cassava",20714,"Vegetable Products",2,2019,NaN,6505492
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,2019,NaN,13708
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Other Nuts",20802,"Vegetable Products",2,2019,NaN,56024596
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Bananas",20803,"Vegetable Products",2,2019,NaN,757240
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Tropical Fruits",20804,"Vegetable Products",2,2019,NaN,1562967
