hs2,hs2_id,hs4,hs4_id,section,section_id,time,time_id,trade_value,type
Animals; live,101,Horses,10101,Animal Products,1,2017,NA,65413,Export--US to China
Animals; live,101,Bovine,10102,Animal Products,1,2017,NA,91768,Export--US to China
Animals; live,101,Pigs,10103,Animal Products,1,2017,NA,10077051,Export--US to China
Animals; live,101,Sheep and Goats,10104,Animal Products,1,2017,NA,93700,Export--US to China
Animals; live,101,Other Animals,10106,Animal Products,1,2017,NA,4310637,Export--US to China
Meat and edible meat offal,102,Bovine Meat,10201,Animal Products,1,2017,NA,6328011,Export--US to China
Meat and edible meat offal,102,Frozen Bovine Meat,10202,Animal Products,1,2017,NA,24406489,Export--US to China
Meat and edible meat offal,102,Pig Meat,10203,Animal Products,1,2017,NA,237121846,Export--US to China
Meat and edible meat offal,102,Sheep and Goat Meat,10204,Animal Products,1,2017,NA,120762,Export--US to China
Meat and edible meat offal,102,Edible Offal,10206,Animal Products,1,2017,NA,250441835,Export--US to China
Meat and edible meat offal,102,Poultry Meat,10207,Animal Products,1,2017,NA,1427585,Export--US to China
Meat and edible meat offal,102,Other Meat,10208,Animal Products,1,2017,NA,363756,Export--US to China
Meat and edible meat offal,102,Animal Fat,10209,Animal Products,1,2017,NA,744245,Export--US to China
Meat and edible meat offal,102,Preserved Meat,10210,Animal Products,1,2017,NA,554422,Export--US to China
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,Live Fish,10301,Animal Products,1,2017,NA,1158533,Export--US to China
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,Non-fillet Fresh Fish,10302,Animal Products,1,2017,NA,1822435,Export--US to China
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,Non-fillet Frozen Fish,10303,Animal Products,1,2017,NA,822421709,Export--US to China
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,Fish Fillets,10304,Animal Products,1,2017,NA,58389924,Export--US to China
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,Processed Fish,10305,Animal Products,1,2017,NA,4087868,Export--US to China
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,Crustaceans,10306,Animal Products,1,2017,NA,139390814,Export--US to China
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,Molluscs,10307,Animal Products,1,2017,NA,110194069,Export--US to China
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,Animal Products,1,2017,NA,965215,Export--US to China
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,Milk,10401,Animal Products,1,2017,NA,239891,Export--US to China
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,Concentrated Milk,10402,Animal Products,1,2017,NA,94875561,Export--US to China
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,Fermented Milk Products,10403,Animal Products,1,2017,NA,942722,Export--US to China
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,Whey,10404,Animal Products,1,2017,NA,241352402,Export--US to China
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,Butter,10405,Animal Products,1,2017,NA,738519,Export--US to China
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,Cheese,10406,Animal Products,1,2017,NA,61440240,Export--US to China
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,Eggs,10407,Animal Products,1,2017,NA,5840,Export--US to China
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,Processed Egg Products,10408,Animal Products,1,2017,NA,239984,Export--US to China
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",104,Honey,10409,Animal Products,1,2017,NA,779299,Export--US to China
Animal originated products; not elsewhere specified or included,105,Human Hair,10501,Animal Products,1,2017,NA,132617,Export--US to China
Animal originated products; not elsewhere specified or included,105,Animal Organs,10504,Animal Products,1,2017,NA,191936104,Export--US to China
Animal originated products; not elsewhere specified or included,105,Bird Feathers and Skins,10505,Animal Products,1,2017,NA,23573914,Export--US to China
Animal originated products; not elsewhere specified or included,105,Processed Bones,10506,Animal Products,1,2017,NA,29911512,Export--US to China
Animal originated products; not elsewhere specified or included,105,Raw Bones,10507,Animal Products,1,2017,NA,125536,Export--US to China
Animal originated products; not elsewhere specified or included,105,Coral and Shells,10508,Animal Products,1,2017,NA,119122,Export--US to China
Animal originated products; not elsewhere specified or included,105,Other Inedible Animal Products,10511,Animal Products,1,2017,NA,19482391,Export--US to China
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,Bulbs and Roots,20601,Vegetable Products,2,2017,NA,120385,Export--US to China
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,Other Live Plants,20602,Vegetable Products,2,2017,NA,4180456,Export--US to China
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,Cut Flowers,20603,Vegetable Products,2,2017,NA,9213,Export--US to China
"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",206,Foliage,20604,Vegetable Products,2,2017,NA,129565,Export--US to China
Vegetables and certain roots and tubers; edible,207,Potatoes,20701,Vegetable Products,2,2017,NA,325378,Export--US to China
Vegetables and certain roots and tubers; edible,207,Tomatoes,20702,Vegetable Products,2,2017,NA,32136,Export--US to China
Vegetables and certain roots and tubers; edible,207,Onions,20703,Vegetable Products,2,2017,NA,512143,Export--US to China
Vegetables and certain roots and tubers; edible,207,Legumes,20708,Vegetable Products,2,2017,NA,43426,Export--US to China
Vegetables and certain roots and tubers; edible,207,Other Vegetables,20709,Vegetable Products,2,2017,NA,198221,Export--US to China
Vegetables and certain roots and tubers; edible,207,Frozen Vegetables,20710,Vegetable Products,2,2017,NA,15181724,Export--US to China
Vegetables and certain roots and tubers; edible,207,Preserved Vegetables,20711,Vegetable Products,2,2017,NA,234377,Export--US to China
Vegetables and certain roots and tubers; edible,207,Dried Vegetables,20712,Vegetable Products,2,2017,NA,3755456,Export--US to China
Vegetables and certain roots and tubers; edible,207,Dried Legumes,20713,Vegetable Products,2,2017,NA,26730199,Export--US to China
Vegetables and certain roots and tubers; edible,207,Cassava,20714,Vegetable Products,2,2017,NA,51562,Export--US to China
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Coconuts, Brazil Nuts, and Cashews",20801,Vegetable Products,2,2017,NA,481047,Export--US to China
"Fruit and nuts, edible; peel of citrus fruit or melons",208,Other Nuts,20802,Vegetable Products,2,2017,NA,218990204,Export--US to China
"Fruit and nuts, edible; peel of citrus fruit or melons",208,Tropical Fruits,20804,Vegetable Products,2,2017,NA,424515,Export--US to China
"Fruit and nuts, edible; peel of citrus fruit or melons",208,Citrus,20805,Vegetable Products,2,2017,NA,50325623,Export--US to China
"Fruit and nuts, edible; peel of citrus fruit or melons",208,Grapes,20806,Vegetable Products,2,2017,NA,41104963,Export--US to China
"Fruit and nuts, edible; peel of citrus fruit or melons",208,Apples and Pears,20808,Vegetable Products,2,2017,NA,19111864,Export--US to China
"Fruit and nuts, edible; peel of citrus fruit or melons",208,Pitted Fruits,20809,Vegetable Products,2,2017,NA,120906259,Export--US to China
"Fruit and nuts, edible; peel of citrus fruit or melons",208,Other Fruits,20810,Vegetable Products,2,2017,NA,332820,Export--US to China
"Fruit and nuts, edible; peel of citrus fruit or melons",208,Frozen Fruits and Nuts,20811,Vegetable Products,2,2017,NA,5184224,Export--US to China
"Fruit and nuts, edible; peel of citrus fruit or melons",208,Dried Fruits,20813,Vegetable Products,2,2017,NA,17110593,Export--US to China
"Fruit and nuts, edible; peel of citrus fruit or melons",208,Citrus and Melon Peels,20814,Vegetable Products,2,2017,NA,7692,Export--US to China
"Coffee, tea, mate and spices",209,Coffee,20901,Vegetable Products,2,2017,NA,15942067,Export--US to China
"Coffee, tea, mate and spices",209,Tea,20902,Vegetable Products,2,2017,NA,2168316,Export--US to China
"Coffee, tea, mate and spices",209,Maté,20903,Vegetable Products,2,2017,NA,8237,Export--US to China
"Coffee, tea, mate and spices",209,Pepper,20904,Vegetable Products,2,2017,NA,526663,Export--US to China
"Coffee, tea, mate and spices",209,Vanilla,20905,Vegetable Products,2,2017,NA,30493,Export--US to China
"Coffee, tea, mate and spices",209,Cloves,20907,Vegetable Products,2,2017,NA,3100,Export--US to China
"Coffee, tea, mate and spices",209,"Nutmeg, mace and cardamons",20908,Vegetable Products,2,2017,NA,213077,Export--US to China
"Coffee, tea, mate and spices",209,Spices,20910,Vegetable Products,2,2017,NA,805178,Export--US to China
Cereals,210,Wheat,21001,Vegetable Products,2,2017,NA,353198006,Export--US to China
Cereals,210,Oats,21004,Vegetable Products,2,2017,NA,1988027,Export--US to China
Cereals,210,Corn,21005,Vegetable Products,2,2017,NA,151883243,Export--US to China
Cereals,210,Rice,21006,Vegetable Products,2,2017,NA,690336,Export--US to China
Cereals,210,Sorghum,21007,Vegetable Products,2,2017,NA,839459244,Export--US to China
Cereals,210,Buckwheat,21008,Vegetable Products,2,2017,NA,660606,Export--US to China
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,Wheat Flours,21101,Vegetable Products,2,2017,NA,786689,Export--US to China
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,Cereal Flours,21102,Vegetable Products,2,2017,NA,17479,Export--US to China
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,Cereal Meal and Pellets,21103,Vegetable Products,2,2017,NA,291806,Export--US to China
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,Processed Cereals,21104,Vegetable Products,2,2017,NA,612245,Export--US to China
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,Potato Flours,21105,Vegetable Products,2,2017,NA,4716676,Export--US to China
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,Legume Flours,21106,Vegetable Products,2,2017,NA,483652,Export--US to China
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,Malt,21107,Vegetable Products,2,2017,NA,6644,Export--US to China
"Products of the milling industry; malt, starches, inulin, wheat gluten",211,Starches,21108,Vegetable Products,2,2017,NA,2686173,Export--US to China
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,Soybeans,21201,Vegetable Products,2,2017,NA,12224802399,Export--US to China
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,Ground Nuts,21202,Vegetable Products,2,2017,NA,51881678,Export--US to China
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,Linseed,21204,Vegetable Products,2,2017,NA,5129959,Export--US to China
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,Sunflower Seeds,21206,Vegetable Products,2,2017,NA,2834266,Export--US to China
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,Other Oily Seeds,21207,Vegetable Products,2,2017,NA,140677,Export--US to China
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,Oil Seed Flower,21208,Vegetable Products,2,2017,NA,6151165,Export--US to China
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,Sowing Seeds,21209,Vegetable Products,2,2017,NA,122027487,Export--US to China
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,Hops,21210,Vegetable Products,2,2017,NA,3741187,Export--US to China
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,Perfume Plants,21211,Vegetable Products,2,2017,NA,15416494,Export--US to China
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,Vegetable Products,2,2017,NA,298030,Export--US to China
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,Cereal Straws,21213,Vegetable Products,2,2017,NA,7410,Export--US to China
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",212,Forage Crops,21214,Vegetable Products,2,2017,NA,389646473,Export--US to China
"Lac; gums, resins and other vegetable saps and extracts",213,Insect Resins,21301,Vegetable Products,2,2017,NA,1258755,Export--US to China
"Lac; gums, resins and other vegetable saps and extracts",213,Vegetable Saps,21302,Vegetable Products,2,2017,NA,34752014,Export--US to China
Vegetable plaiting materials; vegetable products not elsewhere specified or included,214,Vegetable Plaiting Materials,21401,Vegetable Products,2,2017,NA,16170,Export--US to China
Vegetable plaiting materials; vegetable products not elsewhere specified or included,214,Other Vegetable Products,21404,Vegetable Products,2,2017,NA,5401671,Export--US to China
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,315,Pig and Poultry Fat,31501,Animal and Vegetable Bi-Products,3,2017,NA,24832,Export--US to China
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,315,Lard,31503,Animal and Vegetable Bi-Products,3,2017,NA,13536,Export--US to China
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,315,Fish Oil,31504,Animal and Vegetable Bi-Products,3,2017,NA,1489602,Export--US to China
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,315,Wool Grease,31505,Animal and Vegetable Bi-Products,3,2017,NA,567405,Export--US to China
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,315,Other Animal Fats,31506,Animal and Vegetable Bi-Products,3,2017,NA,1028677,Export--US to China
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,315,Soybean Oil,31507,Animal and Vegetable Bi-Products,3,2017,NA,24461382,Export--US to China
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,315,Ground Nut Oil,31508,Animal and Vegetable Bi-Products,3,2017,NA,1984431,Export--US to China
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,315,Pure Olive Oil,31509,Animal and Vegetable Bi-Products,3,2017,NA,286586,Export--US to China
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,315,Seed Oils,31512,Animal and Vegetable Bi-Products,3,2017,NA,505700,Export--US to China
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,315,Coconut Oil,31513,Animal and Vegetable Bi-Products,3,2017,NA,803195,Export--US to China
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,315,Rapeseed Oil,31514,Animal and Vegetable Bi-Products,3,2017,NA,145885,Export--US to China
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,315,Other Pure Vegetable Oils,31515,Animal and Vegetable Bi-Products,3,2017,NA,6354252,Export--US to China
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,315,Other Vegetable Oils,31516,Animal and Vegetable Bi-Products,3,2017,NA,390356,Export--US to China
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,315,Margarine,31517,Animal and Vegetable Bi-Products,3,2017,NA,8340069,Export--US to China
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,315,Inedible Fats and Oils,31518,Animal and Vegetable Bi-Products,3,2017,NA,4569502,Export--US to China
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,315,Glycerol,31520,Animal and Vegetable Bi-Products,3,2017,NA,7837543,Export--US to China
Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,315,Waxes,31521,Animal and Vegetable Bi-Products,3,2017,NA,2585079,Export--US to China
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",416,Sausages,41601,Foodstuffs,4,2017,NA,2130635,Export--US to China
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",416,Other Prepared Meat,41602,Foodstuffs,4,2017,NA,34412316,Export--US to China
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",416,Processed Fish,41604,Foodstuffs,4,2017,NA,1672053,Export--US to China
"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",416,Processed Crustaceans,41605,Foodstuffs,4,2017,NA,1863299,Export--US to China
Sugars and sugar confectionery,417,Raw Sugar,41701,Foodstuffs,4,2017,NA,4714059,Export--US to China
Sugars and sugar confectionery,417,Other Sugars,41702,Foodstuffs,4,2017,NA,66388338,Export--US to China
Sugars and sugar confectionery,417,Molasses,41703,Foodstuffs,4,2017,NA,24561,Export--US to China
