year,economy,economy_label,mode,mode_label,direction,direction_label,us_dollars_at_current_prices_in_millions,us_dollars_at_current_prices_per_capita,percentage_of_total_world,percentage_of_gross_domestic_product,percentage_of_gross_fixed_capital_formation
2017,0000,World,08,Flow,1,Inward,1700467.556,226.443,100,2.10957,8.40533
2017,004,Afghanistan,08,Flow,1,Inward,53.39,1.471,0.00314,0.24815,1.36726
2017,008,Albania,08,Flow,1,Inward,1148.891,398.344,0.067563,8.82062,35.95647
2017,012,Algeria,08,Flow,1,Inward,1232.342,29.774,0.072471,0.73621,1.77653
2017,024,Angola,08,Flow,1,Inward,-7397.295,-248.092,-0.435015,-6.05721,-26.06112
2017,028,Antigua And Barbuda,08,Flow,1,Inward,112.937,1183.512,0.006642,7.69335,30.83723
2017,031,Azerbaijan,08,Flow,1,Inward,2867,291.204,0.168601,7.0155,29.45561
2017,032,Argentina,08,Flow,1,Inward,11516.861,262.121,0.677276,1.79196,11.91046
2017,036,Australia,08,Flow,1,Inward,45303.351,1842.752,2.66417,3.19915,13.23566
2017,040,Austria,08,Flow,1,Inward,14953.062,1695.377,0.87935,3.57458,14.84319
2017,044,Bahamas,08,Flow,1,Inward,901.448,2361.363,0.053012,7.41908,28.17113
2017,048,Bahrain,08,Flow,1,Inward,1426.064,954.478,0.083863,4.02471,14.12202
2017,050,Bangladesh,08,Flow,1,Inward,2151.56,13.474,0.126528,0.87592,2.87089
2017,051,Armenia,08,Flow,1,Inward,250.935,85.213,0.014757,2.17685,12.33454
2017,052,Barbados,08,Flow,1,Inward,206.157,720.254,0.012124,4.14124,27.44558
2017,056,Belgium,08,Flow,1,Inward,5159.228,451.781,0.303401,1.02315,4.42573
2017,060,Bermuda,08,Flow,1,Inward,-288.109,-4570.257,-0.016943,-4.59549,-33.55472
2017,064,Bhutan,08,Flow,1,Inward,-10.379,-13.921,-6.1e-4,-0.41056,-0.80012
2017,068,Bolivia,08,Flow,1,Inward,712.474,63.654,0.041899,1.89949,8.93108
2017,070,Bosnia And Herzegovina,08,Flow,1,Inward,449.851,134.223,0.026455,2.48803,13.80892
2017,072,Botswana,08,Flow,1,Inward,260.575,118.171,0.015324,1.49708,5.14229
2017,076,Brazil,08,Flow,1,Inward,66584.927,320.376,3.915683,3.24235,21.64332
