country_name,year,gdp,gdpgrowth,gdppercap2010usd,gdppercapcurrentusd,percenttradegpd,country_code,exports_of_goods_and_services_current_us,imports_of_goods_and_services_bo_p_current_us,trade_openness,is_2017,is_2018,is_2019,value_of_inbound_fdi_mil_usd,value_of_inbound_fdi_usd_per_cap,ln_gdp,ln_gdp_per_cap_current,ln_gdp_per_cap2010,gdppercapcurrentusd_sq,country_name_afghanistan,country_name_albania,country_name_algeria,country_name_angola,country_name_antigua_and_barbuda,country_name_argentina,country_name_armenia,country_name_aruba,country_name_australia,country_name_austria,country_name_azerbaijan,country_name_bahamas,country_name_bahrain,country_name_bangladesh,country_name_barbados,country_name_belarus,country_name_belgium,country_name_belize,country_name_benin,country_name_bermuda,country_name_bhutan,country_name_bolivia,country_name_bosnia_and_herzegovina,country_name_botswana,country_name_brazil,country_name_brunei_darussalam,country_name_bulgaria,country_name_burkina_faso,country_name_burundi,country_name_cabo_verde,country_name_cambodia,country_name_cameroon,country_name_canada,country_name_cayman_islands,country_name_central_african_republic,country_name_chad,country_name_chile,country_name_china,country_name_colombia,country_name_comoros,country_name_congo_democratic_republic,country_name_congo_republic,country_name_costa_rica,country_name_croatia,country_name_cyprus,country_name_denmark,country_name_djibouti,country_name_dominica,country_name_dominican_republic,country_name_ecuador,country_name_egypt,country_name_el_salvador,country_name_equatorial_guinea,country_name_estonia,country_name_eswatini,country_name_ethiopia,country_name_fiji,country_name_finland,country_name_france,country_name_gabon,country_name_gambia,country_name_georgia,country_name_germany,country_name_ghana,country_name_greece,country_name_grenada,country_name_guatemala,country_name_guinea,country_name_guinea_bissau,country_name_guyana,country_name_haiti,country_name_honduras,country_name_hong_kong,country_name_hungary,country_name_iceland,country_name_india,country_name_indonesia,country_name_iran,country_name_iraq,country_name_ireland,country_name_israel,country_name_italy,country_name_jamaica,country_name_japan,country_name_jordan,country_name_kazakhstan,country_name_kenya,country_name_kiribati,country_name_korea_south,country_name_kuwait,country_name_kyrgyzstan,country_name_lao_peoples_democratic_republic,country_name_latvia,country_name_lebanon,country_name_lesotho,country_name_liberia,country_name_lithuania,country_name_luxembourg,country_name_macao,country_name_macedonia,country_name_madagascar,country_name_malawi,country_name_malaysia,country_name_maldives,country_name_mali,country_name_malta,country_name_marshall_islands,country_name_mauritania,country_name_mauritius,country_name_mexico,country_name_moldova,country_name_mongolia,country_name_montenegro,country_name_morocco,country_name_mozambique,country_name_myanmar,country_name_namibia,country_name_nepal,country_name_netherlands,country_name_new_zealand,country_name_nicaragua,country_name_niger,country_name_nigeria,country_name_norway,country_name_oman,country_name_pakistan,country_name_palau,country_name_palestinian_territory,country_name_panama,country_name_papua_new_guinea,country_name_paraguay,country_name_peru,country_name_philippines,country_name_poland,country_name_portugal,country_name_qatar,country_name_romania,country_name_russian_federation,country_name_rwanda,country_name_saint_kitts_and_nevis,country_name_saint_lucia,country_name_saint_vincent_and_the_grenadines,country_name_samoa,country_name_sao_tome_and_principe,country_name_saudi_arabia,country_name_senegal,country_name_serbia,country_name_seychelles,country_name_sierra_leone,country_name_singapore,country_name_sint_maarten_dutch_part,country_name_slovakia,country_name_slovenia,country_name_solomon_islands,country_name_somalia,country_name_south_africa,country_name_spain,country_name_sri_lanka,country_name_sudan,country_name_suriname,country_name_sweden,country_name_tajikistan,country_name_tanzania,country_name_thailand,country_name_timor_leste,country_name_togo,country_name_tonga,country_name_trinidad_and_tobago,country_name_tunisia,country_name_turkey,country_name_turkmenistan,country_name_turks_and_caicos_islands,country_name_tuvalu,country_name_uganda,country_name_ukraine,country_name_united_arab_emirates,country_name_united_kingdom,country_name_united_states,country_name_uruguay,country_name_uzbekistan,country_name_vanuatu,country_name_viet_nam,country_name_yemen,country_name_zambia,country_name_zimbabwe
Afghanistan,2017,18869945677.9599,2.64700320230295,326544.4632235255,519.884773089339,0,AFG,0,7956456168.29306,0.42164700969893104,1,0,0,53.39,1.471,23.660836317571263,6.253607196807924,6.348160699907916,270280.17729015346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,2018,18353881129.881,1.18922812897529,318784.44277591875,493.750418116312,0,AFG,0,7983854240.16617,0.43499542051452383,0,1,0,119.44,3.213,23.633106894798395,6.20203016303282,6.336135212692379,243789.47539003292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,2019,19291104007.8299,3.91160341860697,328658.6161805799,507.103431871987,0,AFG,0,7370791520.56327,0.382082410502354,0,0,1,38.533,1.013,23.68290989435854,6.22871499042151,6.351387425118548,257153.890616347,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2017,13019693450.8816,3.80219748796804,23661517.77189257,4531.02080555986,78.1942750821788,ALB,4110293870.69689,6122452299.79361,0.7859437097420763,1,0,0,1148.891,398.344,23.28972892897052,8.418702536481769,8.489680281866992,20530149.54041632,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2018,15147020535.3869,4.07130129479023,25754175.8231123,5284.38018438156,76.8558877534769,ALB,4785182221.9259,6854286781.72703,0.7684329057625869,0,1,0,1289.69,447.384,23.441069685229927,8.572510613163992,8.532053669907043,27924673.933084488,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2019,15279183289.9372,2.24007026773023,27151272.459546283,5353.2448564014,76.8914950284438,ALB,4821430666.52656,6925814672.05683,0.7688398728955671,0,0,1,1281.252,444.738,23.449757169644865,8.585458171249252,8.558467235500444,28657230.492588047,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2017,170163165960.516,1.29999999999994,22966975.47932065,4111.29411013269,55.321332683485,DZA,38511674028.6667,60127885210.1899,0.5796763281998676,1,0,0,1232.342,29.774,25.860023613451133,8.321493126574975,8.474783946674822,16902739.260011744,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2018,175405660377.358,1.2000000000002,22595866.70778097,4153.73397805915,57.8986226487974,DZA,45231560891.9383,0,0.2578683082098356,0,1,0,1466.082,34.718,25.890367187614405,8.33176296243817,8.466638779240018,17253505.960483093,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2019,171091289782.245,0.799999999999784,22087776.05889808,3973.96407191565,52.0263555949345,DZA,38999162479.062,0,0.2279435880616591,0,0,1,1381.89,32.097,25.86546310937309,8.287519382284696,8.455267446977041,15792390.444876414,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,2017,122123822333.59,-0.147212941085755,11627624.668586863,4095.81294155857,52.256821448818,AGO,35420915616.9387,28256537255.8004,0.5214171294016622,1,0,0,-7397.295,-248.092,25.528301304139752,8.3177204971117,8.134447130948322,16775683.652238665,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
